Feature,Importance
대진인기지수,0.477436833236867
요일_숫자,0.14782642562004022
이동평균_30,0.0942665363906553
홈팀인기지수,0.04628727530185285
합계 일사량(MJ/m2),0.040467235957632776
주말여부,0.03602555138484428
구장수용인원,0.023214453009169755
평균 전운량(1/10),0.019846895765895597
평균 지면온도(°C),0.014931911617068265
최저기온(°C),0.013146224127047898
평균 상대습도(%),0.011983932811746426
최고기온(°C),0.010853668133774154
구장크기,0.00876791836599384
평균기온,0.008742984724539916
방문팀인기지수,0.00723208251880231
방문팀_인코딩,0.006142121767035033
일강수량(mm),0.005750989547112107
월_cos,0.005706140812612078
홈팀_인코딩,0.005607705903200115
월_sin,0.00509068677196301
구장_인코딩,0.004941212903817387
월,0.004643662200898454
강수강도,0.0006163131680724225
비여부,0.00031624167606728693
날씨상태,0.00015499628329151732
