Feature,Importance
요일_숫자,0.1146069190674703
구장수용인원,0.10576125729873219
구장크기,0.09376473648492877
주말여부,0.0919518948934749
구장_인코딩,0.06732501049748452
홈팀인기지수,0.05764608793745548
이동평균_30,0.05137627978610631
홈팀_인코딩,0.04864559050544671
방문팀_인코딩,0.04737737472702555
합계 일사량(MJ/m2),0.035574378720798785
방문팀인기지수,0.03526443581136456
평균 지면온도(°C),0.030802949270200615
평균 상대습도(%),0.030483251543764647
평균 전운량(1/10),0.030106062411252042
최저기온(°C),0.02877888558544531
평균기온,0.028347272346289285
최고기온(°C),0.027936518673177754
대진인기지수,0.017461525236426106
월_sin,0.013453384684179066
월,0.012908047277231733
일강수량(mm),0.00980737635072848
월_cos,0.009360589326289326
날씨상태,0.0051659230739040315
강수강도,0.004019847190712886
비여부,0.002074401300110804
