일시,요일,최저기온(°C),최고기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C),구장,홈,방문,관중수
2023년4월1일,토요일,9.40,25.50,0.00,40.76,21.48,1.56,17.69,고척,키움,한화,16000.00
2023년4월1일,토요일,8.40,22.60,0.00,52.32,21.56,1.12,16.07,문학,SSG,KIA,23000.00
2023년4월1일,토요일,5.00,24.90,0.00,50.12,21.67,0.72,17.96,수원,KT,LG,18700.00
2023년4월1일,토요일,9.40,25.50,0.00,40.76,21.48,1.56,17.69,잠실,두산,롯데,23750.00
2023년4월1일,토요일,7.30,22.70,0.00,53.68,22.11,1.04,17.82,대구,삼성,NC,24000.00
2023년4월2일,일요일,11.90,25.20,0.00,29.60,24.08,0.40,19.70,고척,키움,한화,11562.00
2023년4월2일,일요일,13.30,23.70,0.00,25.40,23.29,0.60,18.50,문학,SSG,KIA,23000.00
2023년4월2일,일요일,8.90,23.70,0.00,31.00,23.41,0.00,20.20,수원,KT,LG,14700.00
2023년4월2일,일요일,11.90,25.20,0.00,29.60,24.08,0.40,19.70,잠실,두산,롯데,23750.00
2023년4월2일,일요일,7.60,19.60,0.00,58.40,23.38,0.00,18.10,대구,삼성,NC,18483.00
2023년4월4일,화요일,9.30,22.80,2.00,65.40,17.00,8.60,18.60,대구,삼성,한화,5936.00
2023년4월4일,화요일,12.70,21.70,6.90,40.40,10.78,9.10,18.50,고척,키움,LG,4510.00
2023년4월4일,화요일,12.00,20.60,10.60,37.30,11.40,9.10,16.80,문학,SSG,롯데,5809.00
2023년4월4일,화요일,12.70,21.70,6.90,40.40,10.78,9.10,18.50,잠실,두산,NC,3924.00
2023년4월5일,수요일,8.70,14.90,50.30,97.80,1.56,10.00,12.50,고척,키움,LG,4194.00
2023년4월5일,수요일,8.70,14.90,50.30,97.80,1.56,10.00,12.50,잠실,두산,NC,2172.00
2023년4월6일,목요일,10.10,18.60,2.60,68.10,17.60,8.30,16.90,대구,삼성,한화,6525.00
2023년4월6일,목요일,7.40,9.70,2.70,94.60,2.15,9.80,10.00,고척,키움,LG,4556.00
2023년4월6일,목요일,7.40,9.70,2.70,94.60,2.15,9.80,10.00,잠실,두산,NC,3724.00
2023년4월7일,금요일,9.00,19.20,4.40,55.30,23.25,3.50,19.20,사직,롯데,KT,14734.00
2023년4월7일,금요일,5.00,14.60,0.60,77.30,16.07,5.00,12.40,광주,KIA,두산,12821.00
2023년4월7일,금요일,3.20,15.90,0.30,60.00,23.01,2.10,12.90,한밭,한화,SSG,10415.00
2023년4월7일,금요일,4.60,15.70,0.00,65.00,23.34,1.50,11.90,잠실,LG,삼성,17201.00
2023년4월7일,금요일,8.00,19.60,2.30,51.40,23.19,3.30,15.50,창원,NC,키움,6867.00
2023년4월8일,토요일,4.90,17.40,0.00,29.80,26.94,0.80,17.40,사직,롯데,KT,16555.00
2023년4월8일,토요일,2.80,16.10,0.00,47.60,25.15,0.80,11.70,광주,KIA,두산,16432.00
2023년4월8일,토요일,1.70,16.00,0.00,44.40,24.68,0.90,11.70,한밭,한화,SSG,11232.00
2023년4월8일,토요일,3.10,14.90,0.00,51.10,25.74,0.40,11.70,잠실,LG,삼성,22141.00
2023년4월8일,토요일,2.90,16.50,0.00,24.80,25.30,0.50,12.10,창원,NC,키움,9763.00
2023년4월9일,일요일,7.10,18.40,0.00,38.40,27.73,0.00,18.60,사직,롯데,KT,12283.00
2023년4월9일,일요일,3.70,19.20,0.00,47.50,26.89,0.30,14.80,광주,KIA,두산,14070.00
2023년4월9일,일요일,2.00,18.60,0.00,47.00,25.69,0.80,14.30,한밭,한화,SSG,9455.00
2023년4월9일,일요일,3.50,17.80,0.00,56.80,25.54,0.00,13.10,잠실,LG,삼성,20439.00
2023년4월9일,일요일,4.40,19.60,0.00,37.80,25.96,0.00,13.80,창원,NC,키움,7686.00
2023년4월11일,화요일,12.40,21.40,0.00,77.40,6.72,8.40,15.50,광주,KIA,한화,3623.00
2023년4월11일,화요일,10.80,21.70,0.00,72.00,12.16,7.10,16.30,창원,NC,KT,2069.00
2023년4월11일,화요일,13.70,19.80,0.20,80.50,20.00,6.60,21.30,사직,롯데,LG,5286.00
2023년4월11일,화요일,8.90,23.40,0.00,58.10,14.08,5.60,18.00,대구,삼성,SSG,3907.00
2023년4월11일,화요일,9.20,17.40,2.90,73.40,2.01,6.50,11.00,잠실,두산,키움,4372.00
2023년4월12일,수요일,7.70,19.40,0.00,19.40,27.04,0.50,17.00,광주,KIA,한화,5252.00
2023년4월12일,수요일,8.90,21.90,0.00,29.30,25.46,1.00,18.50,창원,NC,KT,2448.00
2023년4월12일,수요일,11.50,19.80,0.00,38.30,27.00,1.30,22.10,사직,롯데,LG,6519.00
2023년4월12일,수요일,10.60,20.20,0.00,18.10,25.50,1.10,19.30,대구,삼성,SSG,5405.00
2023년4월13일,목요일,5.50,24.90,0.00,24.90,24.93,2.00,18.00,광주,KIA,한화,5457.00
2023년4월13일,목요일,7.50,21.00,0.00,32.40,23.45,2.90,17.10,창원,NC,KT,3174.00
2023년4월13일,목요일,10.50,20.10,0.00,39.30,25.14,3.50,22.20,사직,롯데,LG,6505.00
2023년4월13일,목요일,5.20,25.60,0.00,25.90,22.31,3.30,19.10,대구,삼성,SSG,4648.00
2023년4월13일,목요일,5.10,17.20,0.00,45.00,16.17,5.10,11.90,잠실,두산,키움,6917.00
